frame_idx,frame_name,road_ratio
772,000772,0.4342379
773,000773,0.383204
774,000774,0.28601915
775,000775,0.2653763
776,000776,0.25749746
777,000777,0.2522706
778,000778,0.26464
779,000779,0.26780346
780,000780,0.29937613
781,000781,0.3405207
782,000782,0.35715577
783,000783,0.37262687
784,000784,0.39367974
785,000785,0.4031965
786,000786,0.39546978
787,000787,0.38744986
788,000788,0.3756801
789,000789,0.3781425
790,000790,0.36481196
791,000791,0.33962348
792,000792,0.32728055
793,000793,0.35562807
794,000794,0.33602574
795,000795,0.3206274
796,000796,0.29094395
797,000797,0.24286407
798,000798,0.23154181
799,000799,0.24977955
800,000800,0.25640845
801,000801,0.2719148
802,000802,0.26125392
803,000803,0.24193378
804,000804,0.25331333
805,000805,0.26622945
806,000806,0.2615934
807,000807,0.25601384
808,000808,0.31074908
809,000809,0.30449715
810,000810,0.2725034
811,000811,0.32593802
812,000812,0.35862616
813,000813,0.36735374
814,000814,0.3707178
815,000815,0.38193202
816,000816,0.36761826
817,000817,0.36476567
818,000818,0.35862175
819,000819,0.36531678
820,000820,0.3574049
821,000821,0.3611525
822,000822,0.35673913
823,000823,0.3433733
824,000824,0.34647724
825,000825,0.35663992
826,000826,0.34422645
827,000827,0.32546625
828,000828,0.3167585
829,000829,0.3247564
830,000830,0.32461092
831,000831,0.33984172
832,000832,0.3508333
833,000833,0.34777346
834,000834,0.36755875
835,000835,0.35053128
836,000836,0.3254883
837,000837,0.3272122
838,000838,0.30896345
839,000839,0.31284997
840,000840,0.34320357
841,000841,0.33967197
842,000842,0.34722674
843,000843,0.33991447
844,000844,0.3316278
845,000845,0.3479388
846,000846,0.34811738
847,000847,0.36285216
848,000848,0.3595344
849,000849,0.3721551
850,000850,0.37875754
851,000851,0.36863455
852,000852,0.3516115
853,000853,0.33627707
854,000854,0.3235704
855,000855,0.32275915
856,000856,0.33011773
857,000857,0.34587762
858,000858,0.3587386
859,000859,0.36471495
860,000860,0.37213528
861,000861,0.37398484
862,000862,0.37722763
863,000863,0.36795998
864,000864,0.35056657
865,000865,0.3411071
866,000866,0.34528682
867,000867,0.33691415
868,000868,0.3227878
869,000869,0.33051893
870,000870,0.33405495
871,000871,0.34993166
872,000872,0.3705899
873,000873,0.3635598
874,000874,0.36081523
875,000875,0.35827786
876,000876,0.35208544
877,000877,0.34603193
878,000878,0.33608747
879,000879,0.34441382
880,000880,0.3136502
881,000881,0.29357612
882,000882,0.28258896
883,000883,0.27845332
884,000884,0.28216788
885,000885,0.27756932
886,000886,0.29707465
887,000887,0.3125656
888,000888,0.31484282
889,000889,0.31186897
890,000890,0.30503285
891,000891,0.29501787
892,000892,0.27415016
893,000893,0.24976853
894,000894,0.24515894
895,000895,0.27801242
896,000896,0.30769366
897,000897,0.29310656
898,000898,0.2758807
899,000899,0.2519245
900,000900,0.21408448
901,000901,0.2370839
902,000902,0.27012917
903,000903,0.29544774
904,000904,0.31883734
905,000905,0.33220977
906,000906,0.33332086
907,000907,0.34127685
908,000908,0.36700544
909,000909,0.35846964
910,000910,0.34933865
911,000911,0.3576165
912,000912,0.35824698
913,000913,0.36487588
914,000914,0.3737842
915,000915,0.3924298
916,000916,0.41588554
917,000917,0.43604118
918,000918,0.44742075
919,000919,0.44854063
920,000920,0.44952384
921,000921,0.44489
922,000922,0.43459725
923,000923,0.41914597
924,000924,0.39579162
925,000925,0.37430888
926,000926,0.35709405
927,000927,0.34991843
928,000928,0.34448656
929,000929,0.3387439
930,000930,0.3356003
931,000931,0.33262202
932,000932,0.31892112
933,000933,0.2998104
934,000934,0.2744081
935,000935,0.24318813
936,000936,0.22103523
937,000937,0.20456108
938,000938,0.21450554
939,000939,0.26111943
940,000940,0.3153322
941,000941,0.38875932
942,000942,0.48306292
943,000943,0.5206671
944,000944,0.5265156
945,000945,0.5577466
946,000946,0.4596777
947,000947,0.5614435
948,000948,0.5394273
949,000949,0.4726996
950,000950,0.45492262
951,000951,0.4299568
952,000952,0.41802388
953,000953,0.40277326
954,000954,0.3987787
955,000955,0.3975067
956,000956,0.37967902
957,000957,0.36913496
958,000958,0.34374806
959,000959,0.32329923
960,000960,0.3341409
961,000961,0.31159782
962,000962,0.35905382
963,000963,0.3605992
964,000964,0.37123805
965,000965,0.3762334
966,000966,0.39168248
967,000967,0.37955338
968,000968,0.35678542
969,000969,0.34888893
970,000970,0.40837264
971,000971,0.41682905
972,000972,0.42058992
973,000973,0.42218816
974,000974,0.42659935
975,000975,0.43291962
976,000976,0.42911246
977,000977,0.4124245
978,000978,0.41361713
979,000979,0.41044265
980,000980,0.4273202
981,000981,0.45640624
982,000982,0.42590272
983,000983,0.43990785
984,000984,0.41391033
985,000985,0.41273093
986,000986,0.43417397
987,000987,0.42949384
988,000988,0.44634935
989,000989,0.45547816
990,000990,0.4433821
991,000991,0.4540827
992,000992,0.4549182
993,000993,0.46673205
994,000994,0.472003
995,000995,0.46673426
996,000996,0.48087165
997,000997,0.48240158
998,000998,0.47854373
999,000999,0.47378644
1000,001000,0.45983642
1001,001001,0.45788765
1002,001002,0.45765397
1003,001003,0.45268506
1004,001004,0.4437679
1005,001005,0.40884662
1006,001006,0.41236717
1007,001007,0.39740312
1008,001008,0.3980358
1009,001009,0.41121864
1010,001010,0.4248446
1011,001011,0.43292844
1012,001012,0.43159252
1013,001013,0.4443587
1014,001014,0.41721705
1015,001015,0.41105992
1016,001016,0.3903796
1017,001017,0.37773687
1018,001018,0.37501433
1019,001019,0.4380208
1020,001020,0.45645475
1021,001021,0.4527975
1022,001022,0.48291522
1023,001023,0.37054363
1024,001024,0.38110533
1025,001025,0.42610335
1026,001026,0.42068693
1027,001027,0.40746218
1028,001028,0.3928354
1029,001029,0.37936598
1030,001030,0.37571535
1031,001031,0.38984612
1032,001032,0.36880207
1033,001033,0.38048366
1034,001034,0.372305
1035,001035,0.44696882
1036,001036,0.4268705
1037,001037,0.42060757
1038,001038,0.42402893
1039,001039,0.42472774
1040,001040,0.44162735
1041,001041,0.4404656
1042,001042,0.45566994
1043,001043,0.45679423
1044,001044,0.4555972
1045,001045,0.439295
1046,001046,0.41790265
1047,001047,0.44649267
1048,001048,0.46070057
1049,001049,0.44188967
1050,001050,0.47058553
1051,001051,0.46411976
1052,001052,0.47312948
1053,001053,0.46360168
1054,001054,0.47670737
1055,001055,0.45910454
1056,001056,0.4725431
1057,001057,0.46659318
